Faculty,Programme,Merit,Catch,ELDS
Agriculture,Agric. Economics,50,50,50
Agriculture,Agric. Extension and Rural Devel.,50,50,50
Agriculture,Crop Protection and Horticultural Sciences,50,50,50
Agriculture,,,,
Agriculture,Soil Resources Management,50,50,50
Agriculture,Animal Science,50,50,50
Agriculture,Crop Protection and Environ. Biol.,50,50,50
Arts,Anthropology,50,50,50
Arts,Arabic Language & Literature,52,52,52
Arts,Archeaology,50,50,50
Arts,Classical Studies,50,50,50
Arts,Communication & Language Arts,62.75,62.75,57
Arts,European Studies - French,50,50,50
Arts,European Studies- German,50,50,50
Arts,European Studies- Russian,50,50,50
Arts,English Language & Literature,59.875,59.875,57.25
Arts,,,,
Arts,History,50,50,50
Arts,Islamic Studies,50,50,50
Arts,Linguistics,58.5,58.5,54.125
Arts,Linguistics- Igbo,50,50,50
Arts,Linguistics- Yoruba,50,50,50
Arts,Music,52.625,52.625,50
Arts,Philosophy,51,51,50
Arts,Religious Studies,50,50,50
Arts,Theatre Arts,55.625,55.625,52.625
College of Medicine,Biochemistry,58.375,58.375,56.875
College of Medicine,Dentistry,72.125,72.125,66.25
College of Medicine,Environmental Health Science,53.125,53.125,53.125
College of Medicine,Human Nutrition and Dietetics,57.5,57.5,52.375
College of Medicine,,,,
College of Medicine,Medical Laboratory Science,67.5,67.5,62
College of Medicine,Medicine and Surgery,78.375,78.375,74.5
College of Medicine,Nursing Science,71,71,66.75
College of Medicine,Physiology,56.75,56.75,56.75
College of Medicine,Physiotherapy,65.625,65.625,59.5
Economics & Mgt Science,,,,
Economics & Mgt Science,Economics,60,60,56.375
Education,Adult Education,50,50,50
Education,Business Education,50,50,50
Education,Early Childhood Education,50,50,50
Education,Education and Arabic Studies,51.75,51.75,51.75
Education,Education and Biology,52.625,52.625,50
Education,Education and Chemistry,50.75,50.75,50
Education,Education and Christian Religious Studies,50,50,50
Education,Education and Communication and Lang Arts,50.125,50.125,50.125
Education,Page 1 of 3,,,
Education,Education and Economics,54.625,54.625,50
Education,Education and English,52.5,52.5,50
Education,Education and French,50,50,50
Education,Education and Geography,50,50,50
Education,,,,
Education,Education and History,50,50,50
Education,Education and Islamic Studies,50.875,50.875,50
Education,Education and Mathematics,50.625,50.625,50
Education,Education and Physics,50,50,50
Education,Education and Political Science,50.125,50.125,50
Education,Education and Yoruba,50,50,50
Education,Educational Management,50.125,50.125,50
Education,Guidance and Counselling,51.625,51.625,50
Education,Health Education,50,50,50
Education,Human Kinetics,50,50,50
Education,"Library, Archival and Information Studies",51.5,51.5,50
Education,Special Education,50.5,50.5,50
Environmental & Design Mgt,Architecture,52.125,52.125,52.125
Environmental & Design Mgt,,,,
Environmental & Design Mgt,Estate Management,50,50,50
Environmental & Design Mgt,Urban and Regional Planning,50,50,50
Law,Law,65.75,65.75,59.75
Pharmacy,Pharmacy,69,69,64
Renewable Natural Resources,Aquaculture and Fisheries Management,50,50,50
Renewable Natural Resources,,,,
Renewable Natural Resources,Forest Resources Management,50,50,50
Renewable Natural Resources,Wildlife & Ecotourism Management,50,50,50
Renewable Natural Resources,Social and Environmental Forestry,50,50,50
Science,Anthropology,50,50,50
Science,Archeaology,50,50,50
Science,Botany,50.75,50.75,50
Science,Chemistry,51,51,50
Science,Computer Science,68.375,68.375,60.5
Science,Geography,50,50,50
Science,Geology,52.75,52.75,50
Science,Industrial Chemistry,51.875,51.875,50
Science,Mathematics,50.625,50.625,50
Science,Microbiology,55,55,53.125
Science,Physics,54.375,54.375,50
Science,Statistics,52.625,52.625,50
Science,Zoology,51.5,51.5,50.5
Social Sciences,Geography,50,50,50
Social Sciences,Political Science,60,60,54.875
Social Sciences,,,,
Social Sciences,Psychology,53.125,53.125,51
Social Sciences,Sociology,52.75,52.75,50
Technology,Agricultural and Environmental Engineering,51.5,51.5,50
Technology,Civil Engineering,63.125,63.125,60.625
Technology,Electrical and Electronics Engineering,67.75,67.75,63.375
Technology,Food Technology,50.75,50.75,50
Technology,,,,
Technology,Industrial and Production Engineering,51.125,51.125,50
Technology,Mechanical Engineering,68,68,65
Technology,Petroleum Engineering,58.125,58.125,57.75
Technology,Wood Products Engineering,51,51,50
Veterinary Medicine,,,,
Veterinary Medicine,Veterinary Medicine,60,60,60
